STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
672050,99999, 20121213,   77.3, 4,   69.3, 4, 1009.7, 4, 9999.9, 0,  12.4, 4,   0.0, 4, 999.9, 999.9,   83.3*,  73.2 , 2.36G,999.9, 010010,
672050,99999, 20121226,   87.3, 4,   77.3, 4, 1012.7, 4, 9999.9, 0,  18.6, 4,   3.7, 4,   7.0, 999.9,   93.7*,  77.4 , 0.00I,999.9, 000000,
672050,99999, 20130108,   81.5, 5,   72.1, 5, 9999.9, 0, 9999.9, 0,  14.0, 5,   2.1, 5,   2.9, 999.9,   88.3*,  76.1 , 0.00I,999.9, 000000,
672050,99999, 20130116,   86.1, 4,   77.7, 4, 1009.7, 4, 9999.9, 0,  18.6, 4,   2.2, 4,   6.0, 999.9,   91.4*,  77.0 , 0.00I,999.9, 000000,
672050,99999, 20130126,   83.8, 4,   75.9, 4, 1008.6, 4, 9999.9, 0,  18.6, 4,   2.3, 4,   5.1, 999.9,   88.7*,  77.7*, 0.00I,999.9, 000000,
672050,99999, 20160728,   77.7, 4,   68.6, 4, 1014.0, 4, 9999.9, 0,  18.6, 4,   4.0, 4,   6.0, 999.9,   83.8*,  68.9 , 0.00I,999.9, 000000,
672050,99999, 20160731,   77.4, 4, 9999.9, 0, 1015.0, 4, 9999.9, 0,  18.6, 4,   4.0, 4,   6.0, 999.9,   86.4*,  63.0 , 0.00I,999.9, 000000,
672050,99999, 20160802,   77.7, 4,   66.2, 4, 1014.8, 4, 9999.9, 0,  18.6, 4,   5.1, 4,   6.0, 999.9,   84.9*,  67.3 , 0.00I,999.9, 000000,
672050,99999, 20160810,   79.1, 4,   65.8, 4, 1017.0, 4, 9999.9, 0,  17.9, 4,   7.0, 4,   8.0, 999.9,   86.7*,  70.2 , 0.00I,999.9, 000000,
672050,99999, 20160811,   77.7, 4,   61.0, 4, 1017.2, 4, 9999.9, 0,  18.6, 4,   7.8, 4,  11.1, 999.9,   83.3*,  67.1 , 0.00I,999.9, 000000,
672050,99999, 20160812,   75.8, 4,   64.6, 4, 1016.9, 4, 9999.9, 0,  17.9, 4,   6.0, 4,   8.0, 999.9,   83.1*,  64.4 , 0.00I,999.9, 000000,
672050,99999, 20160813,   76.8, 4,   64.9, 4, 1017.1, 4, 9999.9, 0,  17.9, 4,   4.5, 4,   6.0, 999.9,   83.7*,  65.3 , 0.00I,999.9, 000000,
672050,99999, 20160816,   79.3, 4,   68.3, 4, 1017.8, 4, 9999.9, 0,  17.9, 4,   5.3, 4,   6.0, 999.9,   85.8*,  68.2 , 0.00I,999.9, 000000,
672050,99999, 20160817,   79.7, 4,   67.6, 4, 1017.2, 4, 9999.9, 0,  17.9, 4,   6.5, 4,   8.0, 999.9,   86.2*,  68.9 , 0.00I,999.9, 000000,
672050,99999, 20160819,   79.6, 4,   65.8, 4, 1016.5, 4, 9999.9, 0,  17.9, 4,   5.3, 4,   6.0, 999.9,   87.4*,  67.1 , 0.00I,999.9, 000000,
672050,99999, 20160820,   78.7, 4,   67.5, 4, 9999.9, 0, 9999.9, 0,  17.9, 4,   5.1, 4,   6.0, 999.9,   85.1*,  66.9 , 0.00I,999.9, 000000,
672050,99999, 20160828,   73.8, 4,   66.0, 4, 1018.5, 4, 9999.9, 0,  16.3, 4,   7.3, 4,  11.1, 999.9,   80.2*,  67.1 , 0.08A,999.9, 010000,
672050,99999, 20160830,   74.7, 4,   65.6, 4, 1018.0, 4, 9999.9, 0,  17.9, 4,   6.0, 4,   6.0, 999.9,   82.9*,  65.3 , 0.08G,999.9, 000000,
672050,99999, 20160906,   78.6, 4,   67.5, 4, 1017.5, 4, 9999.9, 0,  17.9, 4,   3.5, 4,   6.0, 999.9,   86.0*,  66.2 , 0.00I,999.9, 000000,
672050,99999, 20160908,   78.7, 4,   66.2, 4, 1016.9, 4, 9999.9, 0,  17.9, 4,   4.6, 4,   6.0, 999.9,   85.6*,  66.2 , 0.00I,999.9, 000000,
672050,99999, 20160909,   77.3, 4,   64.8, 4, 1017.1, 4, 9999.9, 0,  17.9, 4,   3.8, 4,   4.1, 999.9,   83.8*,  64.6 , 0.00I,999.9, 000000,
672050,99999, 20160910,   80.5, 4,   71.1, 4, 1017.3, 4, 9999.9, 0,  17.1, 4,   4.0, 4,   6.0, 999.9,   85.6*,  70.7 , 0.04G,999.9, 000000,
672050,99999, 20160911,   79.8, 4,   68.7, 4, 1017.2, 4, 9999.9, 0, 999.9, 0,   3.5, 4,   6.0, 999.9,   86.5*,  68.7 , 0.00G,999.9, 000000,
672050,99999, 20160912,   81.1, 4,   68.7, 4, 1016.6, 4, 9999.9, 0, 999.9, 0,   5.1, 4,   6.0, 999.9,   88.5*,  68.0 , 0.00I,999.9, 000000,
672050,99999, 20160913,   79.8, 4,   64.8, 4, 1016.2, 4, 9999.9, 0, 999.9, 0,   3.5, 4,   6.0, 999.9,   88.0*,  66.9 , 0.00I,999.9, 000000,
672050,99999, 20160914,   79.3, 4,   67.6, 4, 1016.0, 4, 9999.9, 0,  17.9, 4,   4.0, 4,   6.0, 999.9,   86.5*,  67.8 , 0.00I,999.9, 000000,
672050,99999, 20160915,   79.3, 4,   67.8, 4, 1015.3, 4, 9999.9, 0, 999.9, 0,   5.1, 4,   6.0, 999.9,   85.6*,  66.6 , 0.00I,999.9, 000000,
672050,99999, 20160916,   76.8, 4,   68.1, 4, 1014.4, 4, 9999.9, 0, 999.9, 0,   5.5, 4,   6.0, 999.9,   87.3*,  67.6 , 0.00I,999.9, 000000,
672050,99999, 20160919,   75.7, 4,   65.2, 4, 1016.9, 4, 9999.9, 0,  18.6, 4,   3.5, 4,   4.1, 999.9,   80.2*,  64.9 , 0.04A,999.9, 010000,
