date,district,precipitation,year,month,day,week,lag_30,precipitation_risk,temp_max,temp_mean,temp_min,humidity_max,humidity_mean,humidity_min,cloud_cover,temperature_risk,malaria_risk
2010-01-01,BOANE,10.1552171707153,2010,1,1,1,NA,NA,34,30,26,94,66,52,2,0.5,NA
2010-01-02,BOANE,10.1552171707153,2010,1,2,1,NA,NA,31,27,24,89,72,55,5,1,NA
2010-01-03,BOANE,5.07760858535767,2010,1,3,2,NA,NA,32,28,24,94,79,55,6,0.5,NA
2010-01-04,BOANE,0,2010,1,4,2,NA,NA,31,26,21,100,84,58,6,0.5,NA
2010-01-05,BOANE,0,2010,1,5,2,NA,NA,25,23,21,100,82,65,6,0.5,NA
2010-01-06,BOANE,0,2010,1,6,2,NA,NA,28,24,20,83,69,54,3,0.5,NA
2010-01-07,BOANE,0,2010,1,7,2,NA,NA,33,27,21,94,67,46,2,0.5,NA
2010-01-08,BOANE,0,2010,1,8,2,NA,NA,32,27,22,94,69,43,3,0.5,NA
2010-01-09,BOANE,0,2010,1,9,2,NA,NA,30,27,23,94,61,43,3,1,NA
2010-01-10,BOANE,0,2010,1,10,3,NA,NA,30,26,21,88,61,43,3,0.5,NA
2010-01-11,BOANE,0,2010,1,11,3,NA,NA,31,27,24,78,58,43,2,1,NA
2010-01-12,BOANE,0,2010,1,12,3,NA,NA,31,26,22,83,62,46,2,0.5,NA
2010-01-13,BOANE,0,2010,1,13,3,NA,NA,29,27,25,83,69,58,6,1,NA
2010-01-14,BOANE,0,2010,1,14,3,NA,NA,31,27,23,94,67,43,2,1,NA
2010-01-15,BOANE,3.56049561500549,2010,1,15,3,NA,NA,32,26,20,88,70,49,2,0.5,NA
2010-01-16,BOANE,0,2010,1,16,3,NA,NA,30,27,23,100,81,58,6,1,NA
2010-01-17,BOANE,0,2010,1,17,4,NA,NA,30,27,23,83,65,48,5,1,NA
2010-01-18,BOANE,0,2010,1,18,4,NA,NA,30,28,25,74,63,51,5,1,NA
2010-01-19,BOANE,10.0436897277832,2010,1,19,4,NA,NA,38,31,24,78,66,39,4,0.5,NA
2010-01-20,BOANE,0,2010,1,20,4,NA,NA,29,27,25,83,74,65,7,1,NA
2010-01-21,BOANE,0,2010,1,21,4,NA,NA,32,28,24,74,61,49,4,0.5,NA
2010-01-22,BOANE,4.04099082946777,2010,1,22,4,NA,NA,34,29,25,83,69,49,4,0.5,NA
2010-01-23,BOANE,12.1229734420776,2010,1,23,4,NA,NA,33,29,26,78,64,49,3,0.5,NA
